exclaiming_end, questioning_end, uppercase_word_count, people_tagged, #_of_exclamations, #_of_questions, punctuation_pairs, label
0, 0, 0.011904761904761904, 0, 0, 0, 0, 1
0, 0, 0.014084507042253521, 0, 0, 0, 0, 1
0, 0, 0.031746031746031744, 0, 0, 0, 0, 1
0, 0, 0.015625, 0, 0, 1, 0, 1
0, 0, 0.015384615384615385, 0, 0, 1, 0, 1
0, 0, 0.008771929824561403, 1, 0, 0, 0, 1
0, 0, 0.020833333333333332, 0, 0, 0, 0, 1
0, 0, 0.0136986301369863, 0, 0, 1, 0, 1
0, 0, 0.013157894736842105, 1, 0, 0, 0, 1
0, 0, 0.022222222222222223, 0, 0, 1, 0, 1
0, 0, 0.009345794392523364, 0, 0, 0, 0, 1
